date,province,total_cases,new_cases,incidence,incidence_trend
2020-03-07,Lodi,811,72.0,31.660598385309484,30.215769490741785
2020-03-07,Monza e della Brianza,61,41.0,4.711598461490727,0.9193362851689224
2020-03-08,Varese,32,5.0,0.5650509223891257,1.033235972368687
2020-03-08,Como,27,4.0,0.6692970038919621,1.721049438579331
2020-03-08,Sondrio,6,0.0,0.0,0.7126031790019596
2020-03-08,Milano,406,45.0,1.3781161886696187,3.412478181467627
2020-03-08,Bergamo,997,236.0,21.29721710347018,17.945354847476086
2020-03-08,Brescia,501,88.0,7.009511429088039,13.927990242213895
2020-03-08,Pavia,243,22.0,4.071239285238427,7.322943389682105
2020-03-08,Cremona,665,103.0,28.94006316239028,29.221034649403776
2020-03-08,Mantova,56,10.0,2.4574915400853734,4.0373075301402555
2020-03-08,Lecco,53,18.0,5.373759930260538,4.606079940223318
2020-03-08,Lodi,853,42.0,18.46868239143053,29.90167625279229
2020-03-08,Monza e della Brianza,59,-2.0,-0.22983407129223057,1.2148372339732187
2020-03-09,Varese,44,12.0,1.3561222137339017,1.3076892775291193
2020-03-09,Como,40,13.0,2.1752152626488765,2.079601404950025
2020-03-09,Sondrio,7,1.0,0.5542469170015242,1.5043844890041371
2020-03-09,Milano,506,100.0,3.0624804192658197,4.151848454118946
2020-03-09,Bergamo,1245,248.0,22.380126447714428,20.61395287436369
2020-03-09,Brescia,739,238.0,18.95754227412447,16.420008104178635
2020-03-09,Pavia,296,53.0,9.807985550801664,8.380408139094683
2020-03-09,Cremona,916,251.0,70.52384324038798,35.96435033772772
2020-03-09,Mantova,102,46.0,11.304461084392717,5.020304146174405
2020-03-09,Lecco,66,13.0,3.8810488385214996,8.145937672061608
2020-03-09,Lodi,928,75.0,32.979789984697376,29.21067112930339
2020-03-09,Monza e della Brianza,64,5.0,0.5745851782305764,1.822255850959828
2020-03-10,Varese,50,6.0,0.6780611068669509,1.6467198309625948
2020-03-10,Como,46,6.0,1.0039455058379432,2.557670693444283
2020-03-10,Sondrio,7,0.0,0.0,1.5043844890041371
2020-03-10,Milano,592,86.0,2.6337331605686045,4.549970908623502
2020-03-10,Bergamo,1472,227.0,20.485035095286996,22.496152448883457
2020-03-10,Brescia,790,51.0,4.062330487312386,18.229281346427012
2020-03-10,Pavia,324,28.0,5.1815772721216335,7.983858858064967
2020-03-10,Cremona,957,41.0,11.519830967553412,35.80379520229144
2020-03-10,Mantova,119,17.0,4.177735618145134,5.44158841018904
2020-03-10,Lecco,89,23.0,6.866471021999576,9.638648763800648
2020-03-10,Lodi,963,35.0,15.390568659525442,24.750547150420505
2020-03-10,Monza e della Brianza,65,1.0,0.11491703564611529,2.0192564834960254
2020-03-11,Varese,75,25.0,2.8252546119456285,2.1149048809421562
2020-03-11,Como,77,31.0,5.187051780162706,3.1313538396373937
2020-03-11,Sondrio,13,6.0,3.3254815020091453,3.087947109008492
2020-03-11,Milano,925,333.0,10.198059796155178,5.206216712751893
2020-03-11,Bergamo,1815,343.0,30.953158756314714,27.111408939829168
2020-03-11,Brescia,1351,561.0,44.685635360436244,19.4468425849212
2020-03-11,Pavia,403,79.0,14.619450160628897,10.601084112861098
2020-03-11,Cremona,1061,104.0,29.221034649403776,40.25920021064834
2020-03-11,Mantova,137,18.0,4.423484772153672,7.548009730262217
2020-03-11,Lecco,113,24.0,7.165013240347384,10.747519860521075
2020-03-11,Lodi,1035,72.0,31.660598385309484,29.21067112930339
2020-03-11,Monza e della Brianza,85,20.0,2.2983407129223057,2.675925258616684
2020-03-12,Varese,98,23.0,2.599234242989978,2.453935434375632
2020-03-12,Como,98,21.0,3.513809270432801,3.75284391467993
2020-03-12,Sondrio,23,10.0,5.542469170015242,3.087947109008492
2020-03-12,Milano,1146,221.0,6.76808172657746,5.879962404990373
2020-03-12,Bergamo,2136,321.0,28.967824958533598,31.185210758652765
2020-03-12,Brescia,1598,247.0,19.674424124826654,22.43953983467794
2020-03-12,Pavia,468,65.0,12.02866152456808,12.663140374215626
